GENOME	metH'	cbp	bmt	mttB	gbcAB	Cob_syn_75_perc	mttB-cbp-metH'	domain	phylum	class	order	family	genus	species
KELL22-1_SAMN22237344_MAG_00000011	1	1	1	0	0	0	0	Bacteria	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	WGA-3G sp022822215
KELL22-1_SAMN22237345_MAG_00000061	0	1	1	0	0	0	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	Bin94	Bin94 sp022822445
KELL22-1_SAMN22237345_MAG_00000007	1	1	1	0	0	0	0	Bacteria	Poribacteria	WGA-4E	WGA-4E	WGA-3G	MSPOR6	MSPOR6 sp022822275
KELL22-1_SAMN22237344_MAG_00000025	1	1	1	0	0	0	0	Bacteria	Poribacteria	WGA-4E	WGA-4E	WGA-3G	MSPOR6	MSPOR6 sp022824265
KELL22-1_SAMN22237344_MAG_00000042	0	1	1	0	1	0	0	Bacteria	Acidobacteriota	Vicinamibacteria	Marinacidobacterales	Marinacidobacteraceae	Marinacidobacterium	Marinacidobacterium sp022822745
KELL22-1_SAMN22237344_MAG_00000102	1	1	1	0	0	0	0	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	UBA6623	VXMF01	Unknown VXMF01
KELL22-1_SAMN22237344_MAG_00000039	0	1	1	0	0	0	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	Bin94	Unknown Bin94
KELL22-1_SAMN22237344_MAG_00000006	1	1	1	0	1	0	0	Bacteria	Acidobacteriota	Thermoanaerobaculia	Multivoradales	Multivoraceae	Multivorans	Multivorans sp022822365
KELL22-1_SAMN22237345_MAG_00000073	0	1	1	0	0	0	0	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Phototrophicaceae	WTGJ01	Unknown WTGJ01
KELL22-1_SAMN22237344_MAG_00000010	1	1	0	0	0	0	0	Bacteria	UBA8248	UBA8248	UBA8248	UBA8248	Bin107	Unknown Bin107
KELL22-1_SAMN22237344_MAG_00000114	1	1	1	0	0	0	0	Bacteria	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	Unknown Bin125
KELL22-1_SAMN22237344_MAG_00000050	0	1	1	0	0	0	0	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Phototrophicaceae	UBA6055	UBA6055 sp022822305
KELL22-1_SAMN22237344_MAG_00000043	0	0	1	0	0	0	0	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Phototrophicaceae	UBA6055	UBA6055 sp022825675
KELL22-1_SAMN22237344_MAG_00000024	0	0	1	0	0	0	0	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Phototrophicaceae	UBA6055	UBA6055 sp022824365
KELL22-1_SAMN22237344_MAG_00000120	1	0	1	0	0	0	0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Bin134	Poriferisocius	Poriferisocius sp022827405
KELL22-1_SAMN22237344_MAG_00000068	1	1	1	0	1	0	0	Bacteria	Chloroflexota	UBA11872	VXOZ01	VXOZ01	VXOZ01	VXOZ01 sp022824225
KELL22-1_SAMN22237345_MAG_00000079	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Gammaproteobacteria	HK1	HK1	JAJDXW01	JAJDXW01 sp022822245
KELL22-1_SAMN22237345_MAG_00000040	1	0	0	1	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Foliamicales	Foliamicaceae	Foliamicus	Unknown Foliamicus
KELL22-1_SAMN22237344_MAG_00000113	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	Unknown Bin80
KELL22-1_SAMN22237344_MAG_00000082	1	0	0	0	0	0	0	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Bin106	Bin106	Unknown Bin106
KELL22-1_SAMN22237344_MAG_00000018	0	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	UBA2995 sp022824405
KELL22-1_SAMN22237344_MAG_00000054	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Porisulfidales	Porisulfidaceae	Porisulfidus	Unknown Porisulfidus
KELL22-1_SAMN22237344_MAG_00000088	0	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A	Azotimanducaceae	Bin55	Unknown Bin55
KELL22-1_SAMN22237344_MAG_00000046	0	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A	Azotimanducaceae	Bin55	Unknown Bin55
KELL22-1_SAMN22237346_MAG_00000032	1	0	0	0	1	0	0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	UBA8639	Bin75	Bin75 sp022824735
KELL22-1_SAMN22237346_MAG_00000011	1	1	1	0	0	0	0	Bacteria	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	Bin125 sp022824765
KELL22-1_SAMN22237346_MAG_00000087	1	1	1	0	0	0	0	Bacteria	Chloroflexota	UBA11872	UBA11872	UBA11872	UBA11872	UBA11872 sp022824865
KELL22-1_SAMN22237345_MAG_00000095	1	0	1	0	1	1	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Bin95	Bin95	Bin95	Bin95 sp022822125
KELL22-1_SAMN22237347_MAG_00000015	0	0	1	0	0	0	0	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Phototrophicaceae	UBA6055	UBA6055 sp022824565
KELL22-1_SAMN22237345_MAG_00000096	0	0	1	0	0	0	0	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Phototrophicaceae	UBA6055	UBA6055 sp022823945
KELL22-1_SAMN22237346_MAG_00000088	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	HK1	HK1	JAJDXW01	JAJDXW01 sp022823045
KELL22-1_SAMN22237346_MAG_00000005	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	JAJDZL01	JAJDZL01	JAJDZL01 sp022824665
KELL22-1_SAMN22237346_MAG_00000067	0	1	1	1	0	0	0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Aldehydirespiratoraceae	Aldehydirespirator	Aldehydirespirator sp022824605
KELL22-1_SAMN22237345_MAG_00000092	0	1	1	0	0	0	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	Bin94	Bin94 sp022827345
KELL22-1_SAMN22237345_MAG_00000088	1	1	0	0	0	0	0	Bacteria	Chloroflexota	Dehalococcoidia	Tepidiformales	Tepidiformaceae	UBA2991	Unknown UBA2991
KELL22-1_SAMN22237346_MAG_00000034	0	0	1	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales_A	Azotimanducaceae	Bin55	Unknown Bin55
KIEF18-1_SAMN04917373-S007_MAG_00000025	1	1	0	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	HTCC2207	HTCC2207 sp024644595
KIEF18-1_SAMN04917373-S023_MAG_00000038	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	PS1	Thioglobaceae	Thioglobus_A	Thioglobus_A sp022600395
KIEF18-1_SAMN04917373-S023_MAG_00000057	0	0	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Unknown Luminiphilus
KIMD21-1_SAMN19707289_MAG_00000067	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	HIMB11 sp018222665
KIMD21-1_SAMN19707289_MAG_00000098	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	PZPK01	Unknown PZPK01
KIMD21-1_SAMN19707228_MAG_00000006	0	1	1	0	0	0	0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Casp-actino5	Casp-actino5 sp029978815
KIMD21-1_SAMN19707226_MAG_00000065	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Unknown Luminiphilus
KIMD21-1_SAMN19716612_MAG_00000008	1	1	1	1	1	0	1	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Aldehydirespiratoraceae	UBA11606	Unknown UBA11606
KIMD21-1_SAMN19707289_MAG_00000069	0	1	1	0	0	0	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	UBA6960	UBA2589	UBA2589 sp938030915
KIMD21-1_SAMN19707226_MAG_00000120	1	1	0	0	0	0	0	Bacteria	Planctomycetota	UBA1135	UBA1135	GCA-002686595	GCA-2686945	Unknown GCA-2686945
KIMD21-1_SAMN19716612_MAG_00000121	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium_E	Marinobacterium_E sp949499045
KIMD21-1_SAMN19716612_MAG_00000031	1	0	0	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus	Litorivicinus sp937139465
KIMD21-1_SAMN19707226_MAG_00000141	1	0	1	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rubripirellula	Unknown Rubripirellula
KIMD21-1_SAMN19716612_MAG_00000086	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	JALRKF01	JALRKF01 sp023254905
KIMD21-1_SAMN19716613_MAG_00000065	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Unknown Flavobacteriales	Unknown Flavobacteriales	Unknown Flavobacteriales
KIMD21-1_SAMN19707226_MAG_00000099	1	0	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Oceaniferula	Unknown Oceaniferula
KIMD21-1_SAMN19707289_MAG_00000068	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	UBA1997	JADHOZ01	Unknown JADHOZ01
KIMD21-1_SAMN19716614_MAG_00000088	1	1	1	0	0	0	0	Bacteria	Latescibacterota	UBA2968	UBA8231	UBA8231	GCA-2693325	GCA-2693325 sp937942165
KIMD21-1_SAMN19716613_MAG_00000088	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Luminiphilus sp938084055
KIMD21-1_SAMN19716613_MAG_00000116	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Frigidibacter	Unknown Frigidibacter
KIMD21-1_SAMN19716615_MAG_00000085	1	0	0	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	BACL21	BACL21 sp011525065
KIMD21-1_SAMN19716615_MAG_00000135	1	0	0	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	GCA-002733185	GCA-002733185 sp004214175
KIMD21-1_SAMN19716616_MAG_00000111	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA8752	UBA8752 sp002389295
KOBI21-1_SAMD00080265_MAG_00000021	1	1	0	1	1	0	1	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	HTCC2207	HTCC2207 sp029250825
KOBI21-1_SAMD00080263_MAG_00000001	0	0	1	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	D2472	Unknown D2472
KOBI21-1_SAMD00230617_MAG_00000006	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Hel1-33-131	Unknown Hel1-33-131
KOBI21-1_SAMD00230617_MAG_00000020	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MAG-121220-bin8	MAG-121220-bin8 sp018662905
KOBI21-1_SAMD00231899_MAG_00000018	1	0	1	0	1	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Azotimanducaceae_A	UBA9926	UBA9926 sp018645765
KOBI21-1_SAMD00232167_MAG_00000013	1	1	1	1	0	0	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea	Hellea sp018645985
KOBI21-1_SAMD00232201_MAG_00000013	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Unknown Amylibacter
KOBI21-1_SAMD00232220_MAG_00000019	1	0	1	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Aquiluna	Aquiluna sp002333405
KOPF15-1_SAMEA3275557_MAG_00000004	1	1	1	1	1	0	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	UBA685	UBA685 sp002299005
KOPF15-1_SAMEA7392422_MAG_00000018	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	TMED127	TMED127	TMED13	Unknown TMED13
KOPF15-1_SAMEA7392421_MAG_00000084	1	0	0	0	1	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	Afipia sp017474385
KOPF15-1_SAMEA7392421_MAG_00000050	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MedPE-SWsnd-G2	Unknown MedPE-SWsnd-G2
KOPF15-1_SAMEA7392421_MAG_00000106	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA8752	Unknown UBA8752
KOPF15-1_SAMEA7392422_MAG_00000075	1	0	0	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	AM-2324	Unknown AM-2324
KOPF15-1_SAMEA7392421_MAG_00000056	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MS024-2A	Unknown MS024-2A
KOPF15-1_SAMEA7392422_MAG_00000014	1	0	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Luteolibacter	Unknown Luteolibacter
KOPF15-1_SAMEA7392423_MAG_00000009	0	1	1	0	0	1	0	Bacteria	Bacillota_F	Halanaerobiia	Halanaerobiales	Unknown Halanaerobiales	Unknown Halanaerobiales	Unknown Halanaerobiales
KOPF15-1_SAMEA7392426_MAG_00000087	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Amylibacter sp003447515
KOPF15-1_SAMEA7392422_MAG_00000138	1	0	1	1	0	1	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	UBA8309	Unknown UBA8309
KOPF15-1_SAMEA7392423_MAG_00000023	1	1	0	1	0	1	1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	DYOH01	Unknown DYOH01	Unknown DYOH01
KOPF15-1_SAMEA7392423_MAG_00000045	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Halospina	Unknown Halospina
KOPF15-1_SAMEA7392423_MAG_00000097	1	0	1	0	0	0	0	Bacteria	Bacillota_F	Halanaerobiia	Halobacteroidales	Halobacteroidaceae	Halanaerobacter	Unknown Halanaerobacter
KOPF15-1_SAMEA7392423_MAG_00000071	1	1	1	0	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Unknown Phycisphaerales	Unknown Phycisphaerales	Unknown Phycisphaerales
KOPF15-1_SAMEA7392426_MAG_00000105	1	1	1	1	1	0	1	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter_A	Ilumatobacter_A sp002711735
KOPF15-1_SAMEA7392423_MAG_00000069	1	1	0	1	0	0	1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	JAIPAH01	JAIPAH01	Unknown JAIPAH01
KOPF15-1_SAMEA7392423_MAG_00000098	1	1	0	1	0	0	1	Bacteria	Bacillota_F	Halanaerobiia	Halanaerobiales	M55B127	M55B127	Unknown M55B127
KOPF15-1_SAMEA7392427_MAG_00000078	1	1	1	0	0	0	0	Bacteria	Actinomycetota	Thermoleophilia	Miltoncostaeales	Miltoncostaeaceae	SYFI01	Unknown SYFI01
KOPF15-1_SAMEA7392423_MAG_00000054	0	1	1	0	0	0	0	Bacteria	Bacillota_F	Halanaerobiia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	Unknown Halanaerobium
KOPF15-1_SAMEA7392426_MAG_00000061	1	1	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	NS11-12g	UBA955	VMCP01	VMCP01 sp008081305
KOPF15-1_SAMEA7392423_MAG_00000076	1	1	1	0	0	0	0	Bacteria	Marinisomatota	UBA2242	UBA2242	JAFGTP01	Unknown JAFGTP01	Unknown JAFGTP01
KOPF15-1_SAMEA7392427_MAG_00000127	1	1	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Neoroseomonas	Unknown Neoroseomonas
KOPF15-1_SAMEA7392426_MAG_00000036	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Unknown Polaribacter
KOPF15-1_SAMEA7392426_MAG_00000143	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Unknown Polaribacter
KOPF15-1_SAMEA7392426_MAG_00000079	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	CAJJDF01	CAJJDF01	CAJJDF01 sp018609055
KOPF15-1_SAMEA7392427_MAG_00000021	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	M30B66	M30B66	M30B66	M30B66 sp018401705
KOPF15-1_SAMEA7392427_MAG_00000006	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	RI-182	RI-182 sp030728235
KOPF15-1_SAMEA7392426_MAG_00000109	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA952	UBA952 sp943789205
KOPF15-1_SAMEA7392422_MAG_00000160	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	TMED127	TMED127	TMED13	TMED13 sp002167825
KOPF15-1_SAMEA7392426_MAG_00000122	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Hel1-33-131	Unknown Hel1-33-131
KOPF15-1_SAMEA7392423_MAG_00000024	0	0	1	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA12402	UBA12402	Unknown UBA12402	Unknown UBA12402
KOPF15-1_SAMEA7392423_MAG_00000033	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Unknown Francisellaceae	Unknown Francisellaceae
KOPF15-1_SAMEA7392426_MAG_00000117	1	0	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	SW10	Unknown SW10
KOPF15-1_SAMEA7392462_MAG_00000155	0	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	PS1	Thioglobaceae	VMDI01	VMDI01 sp008080915
KOPF15-1_SAMEA7392460_MAG_00000138	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	JANSYC01	JANSYC01 sp024742605
KOPF15-1_SAMEA7392461_MAG_00000056	1	1	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	NS11-12g	UBA955	UBA955	UBA955 sp002293105
KOPF15-1_SAMEA7392462_MAG_00000044	1	1	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA11663	Unknown UBA11663
KOPF15-1_SAMEA7392463_MAG_00000083	1	1	0	0	0	0	0	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Bog-1112	JABSRF01	Unknown JABSRF01
KOPF15-1_SAMEA7392460_MAG_00000140	0	1	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Henriciella	Unknown Henriciella
KOPF15-1_SAMEA7392460_MAG_00000160	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	Phaeodactylibacter sp022763345
KOPF15-1_SAMEA7392460_MAG_00000117	1	0	0	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JALEHC01	Unknown JALEHC01
KOPF15-1_SAMEA7392460_MAG_00000158	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	JAAUTG01	Unknown JAAUTG01
KOPF15-1_SAMEA7392462_MAG_00000030	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Unknown Winogradskyella
KOPF15-1_SAMEA7392463_MAG_00000123	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	CAJQLB01	Unknown CAJQLB01
KOPF15-1_SAMEA7392462_MAG_00000179	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA11891	Unknown UBA11891
KOPF15-1_SAMEA7392463_MAG_00000073	1	0	0	0	0	0	0	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	GCA-2707495	Unknown GCA-2707495
KOPF15-1_SAMEA7392462_MAG_00000043	1	0	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Luteolibacter	Unknown Luteolibacter
KOPF15-1_SAMEA7392463_MAG_00000066	1	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	JAACDM01	Unknown JAACDM01
KOPF15-1_SAMEA7392461_MAG_00000037	0	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	Lacunisphaera sp002304425
KOPF15-1_SAMEA7392461_MAG_00000065	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	UBA11063	Aquella	Aquella sp021298175
KOPF15-1_SAMEA7392462_MAG_00000005	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA7446	Unknown UBA7446
KOPF15-1_SAMEA7392462_MAG_00000045	1	0	0	0	1	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	Arctic95D-9	Arctic95D-9 sp029233965
KOPF15-1_SAMEA7392462_MAG_00000125	1	0	0	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	Arctic95D-9	Arctic95D-9 sp029213195
KOPF15-1_SAMEA7392460_MAG_00000124	1	0	0	0	0	0	0	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Pontimonas	Unknown Pontimonas
KOPF15-1_SAMEA7392465_MAG_00000065	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Unknown Pseudoalteromonas
KOPF15-1_SAMEA7392465_MAG_00000067	1	1	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	SMXP01	SMXP01	JANQLI01	Unknown JANQLI01
KOPF15-1_SAMEA7392465_MAG_00000125	1	1	0	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Stappiaceae	Roseibium	Unknown Roseibium
KOPF15-1_SAMEA7392468_MAG_00000133	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	UBA7985	UBA7985	UBA7985	Unknown UBA7985
KOPF15-1_SAMEA7392465_MAG_00000062	1	1	1	1	1	1	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Dinoroseobacter	Unknown Dinoroseobacter
KOPF15-1_SAMEA7392465_MAG_00000064	1	0	1	0	1	1	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas	Unknown Marinomonas
KOPF15-1_SAMEA7392469_MAG_00000174	1	1	1	1	0	0	1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	Unknown HIMB11
KOPF15-1_SAMEA7392465_MAG_00000095	1	1	1	0	0	0	0	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	JAHQVV01	Unknown JAHQVV01
KOPF15-1_SAMEA7392465_MAG_00000028	1	1	1	0	0	0	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	JAEUHH01	Unknown JAEUHH01
KOPF15-1_SAMEA7392465_MAG_00000107	1	0	0	0	0	0	0	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	Unknown Pseudohongiella
KOPF15-1_SAMEA7392469_MAG_00000144	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	Croceimicrobium	Unknown Croceimicrobium
KOPF15-1_SAMEA7392468_MAG_00000028	0	0	1	0	0	0	0	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	UBA1268	Unknown UBA1268
KOPF15-1_SAMEA7392465_MAG_00000124	1	0	1	0	0	0	0	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Maricaulis	Unknown Maricaulis
KOPF15-1_SAMEA7392465_MAG_00000020	1	0	1	0	1	0	0	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	JAUICM01	Unknown JAUICM01
KOPF15-1_SAMEA7392469_MAG_00000095	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	SZUA-381	Unknown SZUA-381
KOPF15-1_SAMEA7392465_MAG_00000050	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA6165	Unknown UBA6165
KOPF15-1_SAMEA7392465_MAG_00000096	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	Unknown UBA4466
KOPF15-1_SAMEA7392468_MAG_00000098	1	0	0	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA8752	UBA8752 sp016780385
KOPF15-1_SAMEA7392469_MAG_00000031	1	0	1	0	0	0	0	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp002381225
